EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
28387,FP,2005-08-29,NaT
28387,CT,2014-03-05,NaT
28398,FP,2005-08-29,NaT
28402,FP,2005-08-29,NaT
28405,FP,2005-08-29,2006-06-27
28406,FP,2005-08-29,2014-01-14
28408,CT,2005-08-29,2006-11-27
28408,FP,2005-08-29,2006-11-27
28410,FP,2005-08-29,NaT
28412,CT,2005-08-29,2006-08-28
28412,FP,2005-08-29,2006-08-28
28413,FP,2005-08-29,NaT
28413,CT,2012-10-11,NaT
28414,FP,2005-08-29,NaT
28419,FP,2005-08-29,2013-11-06
28421,FP,2005-08-29,2019-10-20
28422,FP,2005-08-29,2006-09-27
28437,FP,2005-08-29,2006-05-28
28440,FP,2005-08-29,NaT
28441,FP,2005-08-29,NaT
28444,FP,2005-08-29,2013-01-17
28452,FP,2005-08-29,2006-04-27
28453,FP,2005-08-29,2015-12-03
28455,FP,2005-08-29,NaT
28455,CT,2008-01-29,NaT
28461,FP,2005-08-29,NaT
28464,FP,2005-08-29,NaT
28464,CT,2018-01-29,NaT
28475,FP,2005-08-29,NaT
28475,CT,2008-01-30,NaT
28479,FP,2005-08-29,2015-03-10
28480,FP,2005-08-29,NaT
28483,FP,2005-08-29,NaT
28483,CT,2012-11-26,NaT
28486,FP,2005-08-29,2005-11-27
28487,FP,2005-09-28,2013-08-27
28491,FP,2005-09-28,2011-03-13
28491,CT,2011-03-13,NaT
28493,FP,2005-09-28,NaT
28505,CT,2005-09-28,2006-10-28
28505,FP,2005-09-28,2006-10-28
28512,FP,2005-09-28,NaT
28514,FP,2005-09-28,NaT
28519,FP,2005-09-28,NaT
28519,CT,2016-01-27,NaT
28524,FP,2005-09-28,NaT
28530,FP,2005-09-28,NaT
28532,FP,2005-09-28,NaT
28536,FP,2005-09-28,NaT
28536,CT,2008-02-04,NaT
28538,FP,2005-09-28,NaT
28540,FP,2005-09-28,NaT
28553,FP,2005-09-28,NaT
28560,FP,2005-09-28,2008-02-05
28562,FP,2005-09-28,2007-10-31
28568,FP,2005-09-28,NaT
28568,CT,2007-06-20,NaT
28569,FP,2005-09-28,NaT
28576,FP,2005-09-28,NaT
28578,FP,2005-09-28,NaT
28580,FP,2005-09-28,NaT
28587,FP,2005-09-28,NaT
28589,FP,2005-09-28,NaT
28589,CT,2011-10-25,NaT
28593,FP,2005-09-28,2013-06-18
28597,FP,2005-09-28,2011-02-03
28601,FP,2005-09-28,NaT
28601,CT,2015-01-27,NaT
28605,FP,2005-09-28,NaT
28614,FP,2005-09-28,2006-03-28
28620,FP,2005-09-28,NaT
28624,FP,2005-09-28,2010-12-20
28630,FP,2005-09-28,NaT
28631,FP,2005-09-28,NaT
28631,CT,2018-01-29,NaT
28635,FP,2005-09-28,NaT
28635,CT,2014-08-04,NaT
28639,FP,2005-09-28,NaT
28642,FP,2005-09-28,2009-01-29
28643,FP,2005-09-28,2017-12-17
28645,FP,2005-09-28,NaT
28646,FP,2005-09-28,2019-03-04
28646,CT,2017-03-14,NaT
28651,FP,2005-09-28,2011-10-13
