,Unnamed: 0,Monetary_score,Total_quantity,Number_order,recency_score,days_customer,amount_cc,amount_diet,amount_energy,amount_lemonade,amount_other,amount_sprite_fanta,amount_water,count,complaint,DaysLastcomp,Percentage_firstcall,DaysToClose,Daysdiff,ActualEmployees,CreditNumericScore,clv,spendingRatio,churn,high_value
3690,3690,21540.4,583,408,1,2444,6169.0,6857.0,1560.0,1430.0,2584.4,2940.0,0.0,6,1,141.0,0.333333333333333,2.30555555555556,0.0,40.0,93.0,373002.0,0.0046117952522255,0,0
3692,3692,2161.0,112,51,0,2416,714.0,34.0,797.0,354.0,0.0,228.0,34.0,1,1,493.0,0.0,1.0,0.0,5.0,80.0,37830.0,0.0008738738738738,0,0
3693,3693,3887.0,224,128,14,2402,502.0,1429.0,312.0,639.0,761.0,244.0,0.0,3,1,234.0,0.666666666666667,0.333333333333333,0.0,30.0,90.0,63060.0,0.0003280786639612,0,0
3698,3698,94649.4,3273,1975,0,2435,12044.0,6352.0,18915.4,19338.0,7798.0,4320.0,25882.0,0,0,136.838182615097,0.7645091647543689,0.474089428899954,-0.558625728435422,2.0,75.0,1835682.0,0.138437556561086,0,1
3702,3702,2258.0,130,43,22,2443,226.0,0.0,677.0,0.0,279.0,1076.0,0.0,0,0,211.570975090554,0.541210515015127,0.4873613933761271,-0.8144136297294541,4.0,91.0,34590.0,0.003141689373297,0,0
3705,3705,68826.4,1897,1412,0,2443,7227.0,16714.0,8590.4,34.0,23046.0,3800.0,9415.0,11,1,98.0,0.454545454545455,1.0,0.0,1.0,83.0,1398792.0,0.5550761904761911,0,1
3706,3706,78034.8,2819,958,1,2445,6118.0,1254.0,868.0,5888.0,33384.0,14840.0,15682.8,9,1,56.0,0.333333333333333,0.0,-0.875,15.0,81.0,1519044.0000000002,0.06493092323145,0,1
3710,3710,103627.2,6041,538,1,2446,20483.0,17925.0,10981.0,7282.0,3181.2,12319.0,31456.0,21,1,73.0,0.4285714285714289,0.6111111111111109,-0.277777777777778,50.0,93.0,1674815.9999999998,0.008411511224951,0,1
3711,3711,67693.0,3813,403,3,2445,12849.0,9432.0,11962.0,0.0,7484.8,7950.0,18015.2,4,1,70.0,0.75,0.0,-0.75,3.0,88.0,1347210.0,0.0865260115606936,0,1
3714,3714,950.4,44,4,6,2416,0.0,0.0,0.0,0.0,26.4,0.0,924.0,0,0,181.024300775428,0.454440233721365,0.7865598852657459,-0.5532123440658521,13.0,90.0,12960.0,0.0004931506849315,1,0
3720,3720,58401.6,1466,526,6,2450,8114.0,4562.0,3561.6,4142.0,10950.0,5992.0,21080.0,5,1,218.0,0.8,0.0,-1.0,10.0,95.0,1040238.0,0.0076578180212014,0,1
